lastName,firstName,country,univ
Ahmad,Muhammad Ovais,Sweden,Karlstad University
Alshayeb,Mohammad,Saudi Arabia,King Fahd University of Petroleum and Minerals
Aziz Butt,Shariq,Pakistan,University of Lahore
Bluemke,Ilona,Poland,Warsaw University of Technology
Boiński,Tomasz,Poland,Gdansk University of Technology
Bolanowski,Marek,Poland,Rzeszow University of Technology
Borzemski,Leszek,Poland,Wroclaw University of Science and Technology
Buchalcevova,Alena,Czech Republic,Prague University of Economics and Business
Camilli,Matteo,Italy,Politecnico di Milano
Chren,Stanislav,Finland,Aalto University
Daszczuk,Wiktor Bohdan,Poland,Warsaw University of Technology
Dąbrowski,Włodzimierz,Poland,Warsaw University of Technology
Derezinska,Anna,Poland,Warsaw University of Technology
Dupas,Remy,France,Université de Bordeaux
Dutta,Arpita,Singapore,National University of Singapore
Flasiński,Mariusz,Poland,Jagiellonian University
Ge,Mouzhi,Germany,Deggendorf Institute of Technology
Gobov,Denys,Ukraine,National Technical University of Ukraine Kyiv Polytechnic Institute
Goczyła,Krzysztof,Poland,Gdansk University of Technology
Góra,Paweł,Poland,University of Warsaw
Grönman,Jere,Finland,Tampere University
Gunasekaran,Karthick,USA,University of Massachusetts
Habela,Piotr,Poland,Polish-Japanese Academy of Information Technology
Halász,Dávid,Czech Republic,Masaryk University
Hanslo,Ridewaan,South Africa,Council for Scientific and Industrial Research
Heil,Sebastian,Germany,Chemnitz University of Technology
Herold,Sebastian,Sweden,Karlstad University
Hnatkowska,Bogumiła,Poland,Wroclaw University of Science and Technology
Hohl,Philipp,Germany,ZF Friedrichshafen AG
Huzar,Zbigniew,Poland,Wroclaw University of Science and Technology
Inayat,Irum,Pakistan,National University of Computer and Emerging Sciences
Jarząbek,Stanisław,Poland,Bialystok University of Technology
Johnsen,Frank,Norway,Norwegian Defence Research Establishment
Katić,Marija,UK,University of London
Khlif,Wiem,Tunisia,University of Sfax
Kitchenham,Barbara,UK,Keele University
Kopczyńska,Sylwia,Poland,Poznan University of Technology
Kosiuczenko,Piotr,Poland,Military University of Technology
Krętowski,Marek,Poland,Bialystok University of Technology
Kropp,Martin,Switzerland,University of Applied Sciences and Arts Northwestern Switzerland
Lano,Kevin,UK,King’s College London
Lencastre,Maria,Brazil,Escola Politécnica de Pernambuco - UPE
Leszczyna,Rafał,Poland,Gdansk University of Technology
Lewowski,Tomasz,Poland,Wroclaw University of Science and Technology
Lunesu,Ilaria,Italy,Università degli Studi di Cagliari
Madeyski,Lech,Poland,Wroclaw University of Science and Technology
Marcinkowski,Bartosz,Poland,University of Gdańsk
Matthies,Christoph,Germany,Hasso Plattner Institute at the University of Potsdam
Maślankowski,Jacek,Poland,University of Gdańsk
Miler,Jakub,Poland,Gdańsk University of Technology
Mohapatra,Durga Prasad,India,NIT Rourkela
Nawrocki,Jerzy,Poland,Poznan University of Technology
Nazaruka,Ērika,Latvia,Riga Technical University
Neumann,Michael,Germany,Hochschule Hannover
Ng,Yen Ying,Poland,Nicolaus Copernicus University
Noyer,Arne,Germany,Ostfalia University of Applied Sciences
Ochodek,Mirosław,Poland,Poznan University of Technology
Özkan,Necmettin,Turkey,Kuveyt Türk Participation Bank
Ó Cinnéide,Mel,Ireland,University College Dublin
Panda,Subhrakanta,India,"Birla Institute of Technology and Science, Pilani"
Paszkiewicz,Andrzej,Poland,Rzeszow University of Technology
Pereira,Rui Humberto R.,Portugal,Instituto Politécnico do Porto - ISCAP
Poniszewska-Marańda,Aneta,Poland,Lodz University of Technology
Przybyłek,Michał,Poland,Polish-Japanese Academy of Information Technology
Radliński,Łukasz,Poland,West Pomeranian University of Technology
Rantanen,Petri,Finland,Tampere University
Ristić,Sonja,Serbia,University of Novi Sad
Roman,Adam,Poland,Jagiellonian University
Rossi,Bruno,Czech Republic,Masaryk University
Saari,Mika,Finland,Tampere University
Sadowska,Małgorzata,Poland,Wroclaw University of Science and Technology
Samolej,Sławomir,Poland,Rzeszow University of Technology
Schön,Eva-Maria,Germany,University of Applied Sciences Emden/Leer
Sikorski,Marcin,Poland,Gdansk University of Technology
Silaghi,Gheorghe Cosmin,Romania,Babeș-Bolyai University
Sinkala,Zipani Tom,Sweden,Karlstad University
Soares,Michel,Brazil,Federal University of Sergipe
Sosnowski,Janusz,Poland,Warsaw University of Technology
Sosnowski,Zenon,Poland,Bialystok University of Technology
Stasiak,Andrzej,Poland,Military University of Technology
Stencel,Krzysztof,Poland,University of Warsaw
Stój,Jacek,Poland,Silesian University of Technology
Swacha,Jakub,Poland,University of Szczecin
Szmuc,Tomasz,Poland,AGH University of Science and Technology
Szpyrka,Marcin,Poland,AGH University of Science and Technology
Szwoch,Mariusz,Poland,Gdansk University of Technology
Śmiałek,Michał,Poland,Warsaw University of Technology
Trendowicz,Adam,Germany,Fraunhofer IESE
Trybus,Bartosz,Poland,Rzeszow University of Technology
Van Landuyt,Dimitri,Belgium,Catholic University of Leuven
Vázquez-Poletti,José Luis,Spain,Complutense University of Madrid
Walkowiak-Gall,Anita,Poland,Wroclaw University of Science and Technology
Waloszek,Wojciech,Poland,Gdansk University of Technology
Walter,Bartosz,Poland,Poznan University of Technology
Wardziński,Andrzej,Poland,Gdansk University of Technology
Weerasinghe,Shakthi,Australia,Deakin University
Werewka,Jan,Poland,AGH University of Science and Technology
Wiszniewski,Bogdan,Poland,Gdansk University of Technology
Wnuk,Krzysztof,Sweden,Blekinge Institute of Technology
Wrona,Konrad,Netherlands,NATO Communications and Information Agency
Wyrzykowski,Krzysztof,Poland,NET PC
Zalewski,Andrzej,Poland,Warsaw University of Technology
Zalewski,Janusz,USA,Florida Gulf Coast University
Zawadzka,Teresa,Poland,Gdansk University of Technology
Zhang,Hongyu,Australia,University of Newcastle
Zieliński,Zbigniew,Poland,Military University of Technology
