lastName,firstName,country,univ
Bolanowski,Marek,Poland,Rzeszow University of Technology
Hnatkowska,Bogumiła,Poland,Wrocław University of Science and Technology
Jarząbek,Stanisław,Poland,Białystok University of Technology
Kopczyńska,Sylwia,Poland,Poznań University of Technology
Kosiuczenko,Piotr,Poland,Military University of Technology in Warsaw
Madeyski,Lech,Poland,Wrocław University of Science and Technology
Ochodek,Mirosław,Poland,Poznań University of Technology
Poniszewska-Maranda,Aneta,Poland,Lódz University of Technology
Śmialek,Michał,Poland,Warsaw University of Technology
Walter,Bartosz,Poland,Poznań University of Technology
